name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,map_url,status_hours
Bhamarkot Party Place and Restaurant,"6222+2J2, Pokhara 33700",,,,restaurant,Grid Search,,,28.2125211,83.9578502,"https://www.google.com/maps/place/Bhamarkot+Party+Place+and+Restaurant/@28.2125211,83.9578502,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595b2cf121867:0x81371a3eddfa4cd7!8m2!3d28.2000025!4d84.0015102!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJrZDAxbFNEZDNSUkFC4AEA-gEECAAQDw!16s%2Fg%2F11kp8j27n1?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 7 AM Sat 
Dailo Food Restaurant and Kimchi Sarang,"6XFQ+8CM, Pokhara 33700",facebook.com,https://www.facebook.com,980-5865076,restaurant,Grid Search,,,28.2000025,83.9834858,"https://www.google.com/maps/place/Dailo+Food+Restaurant+and+Kimchi+Sarang/@28.2000025,83.9834858,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x3995957da99a05ad:0x9d1aa97387d8e359!8m2!3d28.2233391!4d83.9885497!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ3Y0MxSVNGVkJFQUXgAQD6AQQIABBG!16s%2Fg%2F11n0bh0gvf?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 8 AM Sat 
Odaan Foods Restaurant & Naan House,"6X5J+XW8 Sivalaya chok, fewa marga, Pokhara 33700",,,,restaurant,Grid Search,,,28.2233391,83.9705253,"https://www.google.com/maps/place/Odaan+Foods+Restaurant+%26+Naan+House/@28.2233391,83.9705253,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x39959537c6185c69:0x6792f0d06cdd082a!8m2!3d28.2099101!4d83.9823281!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIwNVVWUkVXWFJXYTA1WllYcG9VbFJWUmxwaU1YQTFaRWh3YVZKSFl4QULgAQD6AQQIABAh!16s%2Fg%2F11kl96kvxq?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 7 AM Sat 
ROYAL SAKURA RESTAURANT PVT LTD,"Mathura Sadan, 302 Mahendra Pul Rd, Pokhara 33700",,,061-543331,restaurant,Grid Search,,,28.2233391,83.9705253,"https://www.google.com/maps/place/ROYAL+SAKURA+RESTAURANT+PVT+LTD/@28.2233391,83.9705253,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595f573cd6e3f:0x60da1af52efceebe!8m2!3d28.2248534!4d83.9901044!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU40TFRaUVVXaDNSUkFC4AEA-gEECAAQJQ!16s%2Fg%2F11rq1k5tl2?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 7 AM Sat 
Aarati Bhanchha Ghar & Restaurant,"6232+X26, Pokhara 33700",,,061-433286,restaurant,Grid Search,,,28.20489,83.9818583,"https://www.google.com/maps/place/Aarati+Bhanchha+Ghar+%26+Restaurant/@28.20489,83.9818583,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x3995950059b786e5:0xd92d5f7f64561ac5!8m2!3d28.20489!4d83.9998827!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5UVU5uTkc4eVRVaG5FQUXgAQD6AQQIOxA0!16s%2Fg%2F11x2pxtv4r?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 7:30 AM Sat 
D.G FRIDAY RESTAURANT,"Indrachowk, Pokhara 33700",,,984-6939024,restaurant,Grid Search,,,28.20489,83.9818583,"https://www.google.com/maps/place/D.G+FRIDAY+RESTAURANT/@28.20489,83.9818583,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595a6457a5051:0x2597e7a506536b!8m2!3d28.20625!4d83.9931866!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5TZDBrM05FeEJFQUXgAQD6AQQIABAp!16s%2Fg%2F11frqv8hmd?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 7 AM Sat 
Al Hakeem Halal Restaurant,Pokhara 33700,,,980-4101062,restaurant,Grid Search,,,28.2230625,83.9682881,"https://www.google.com/maps/place/Al+Hakeem+Halal+Restaurant/@28.2230625,83.9682881,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x3995944fcb4ede05:0x5d510ace8865ff21!8m2!3d28.2230625!4d83.9863125!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJTZEZwcWFGRm5FQUXgAQD6AQQIABAa!16s%2Fg%2F11h9y5mc99?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 10 AM Sat 
Gaunghar Cafe & Restaurant,"6X7H+3MR, Pokhara 33700",,,061-540385,restaurant,Grid Search,,,28.2230625,83.9682881,"https://www.google.com/maps/place/Gaunghar+Cafe+%26+Restaurant/@28.2230625,83.9682881,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595dfb9c0c87f:0x15eae6356928c386!8m2!3d28.2127367!4d83.979154!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU53Tm1GNWRXVlJFQUXgAQD6AQQIABAz!16s%2Fg%2F11pwc1zlfc?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 9 AM Sat 
U and me family restaurant,"5XVC+8W, Pokhara 33700",,,980-4122097,restaurant,Grid Search,,,28.2230625,83.9682881,"https://www.google.com/maps/place/U+and+me+family+restaurant/@28.2230625,83.9682881,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595f63f5edfcf:0x2fd0d90a2a908cfc!8m2!3d28.1933243!4d83.9722456!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSARFmYW1pbHlfcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSNk4yOWlNMVIzRUFF4AEA-gEECDAQKw!16s%2Fg%2F11q4m1swgm?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",
Family Restaurant harichowk,"Mahendra Pul Rd, Pokhara 33700",,,061-534901,restaurant,Grid Search,,,28.2243229,83.9732906,"https://www.google.com/maps/place/Family+Restaurant+harichowk/@28.2243229,83.9732906,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595af06077da7:0xa5b6b563ba51d86!8m2!3d28.2243229!4d83.991315!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU40YzFwUWRscFJFQUXgAQD6AQQIMBBJ!16s%2Fg%2F11h_dwyq48?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 10 AM Sat 
